,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,7900.0,180.0,7790.0,8020.0,7750.0,4380146.0
2,2020.04.28,7720.0,100.0,7780.0,8090.0,7640.0,5874015.0
3,2020.04.27,7620.0,420.0,7230.0,7710.0,7230.0,4822565.0
4,2020.04.24,7200.0,120.0,7300.0,7300.0,7190.0,2462628.0
5,2020.04.23,7320.0,20.0,7370.0,7410.0,7300.0,2632930.0
9,2020.04.22,7340.0,140.0,7270.0,7360.0,7210.0,3578458.0
10,2020.04.21,7480.0,220.0,7560.0,7620.0,7400.0,3416231.0
11,2020.04.20,7700.0,180.0,7800.0,7830.0,7650.0,3925258.0
12,2020.04.17,7880.0,160.0,7790.0,7930.0,7780.0,2806396.0
13,2020.04.16,7720.0,180.0,7780.0,7820.0,7630.0,2611738.0
1,2020.04.14,7900.0,150.0,7830.0,7900.0,7750.0,1866762.0
2,2020.04.13,7750.0,70.0,7770.0,8040.0,7710.0,3243711.0
3,2020.04.10,7820.0,310.0,7590.0,7840.0,7520.0,3715056.0
4,2020.04.09,7510.0,60.0,7570.0,7600.0,7450.0,2155700.0
5,2020.04.08,7450.0,110.0,7510.0,7590.0,7430.0,2103995.0
9,2020.04.07,7560.0,120.0,7650.0,7800.0,7450.0,2976291.0
10,2020.04.06,7440.0,210.0,7230.0,7450.0,7210.0,2517463.0
11,2020.04.03,7230.0,0.0,7230.0,7300.0,7100.0,1880217.0
12,2020.04.02,7230.0,70.0,7160.0,7300.0,7000.0,2046811.0
13,2020.04.01,7160.0,340.0,7400.0,7550.0,7160.0,2277600.0
1,2020.03.31,7500.0,230.0,7400.0,7560.0,7280.0,2696258.0
2,2020.03.30,7270.0,100.0,7130.0,7410.0,6980.0,2169902.0
3,2020.03.27,7370.0,100.0,7600.0,7670.0,7220.0,2917213.0
4,2020.03.26,7270.0,100.0,7400.0,7510.0,7160.0,3906989.0
5,2020.03.25,7370.0,690.0,7070.0,7470.0,7030.0,3811848.0
9,2020.03.24,6680.0,550.0,6330.0,6760.0,6160.0,2411046.0
10,2020.03.23,6130.0,490.0,6150.0,6410.0,6010.0,2587895.0
11,2020.03.20,6620.0,750.0,6030.0,6620.0,5900.0,3698474.0
12,2020.03.19,5870.0,640.0,6510.0,6600.0,5860.0,4156109.0
13,2020.03.18,6510.0,200.0,6710.0,6790.0,6510.0,2618531.0
1,2020.03.17,6710.0,390.0,6600.0,6870.0,6500.0,3685283.0
2,2020.03.16,7100.0,350.0,7480.0,7640.0,7100.0,3104062.0
3,2020.03.13,7450.0,460.0,7150.0,7650.0,7020.0,4868340.0
4,2020.03.12,7910.0,510.0,8320.0,8350.0,7800.0,4060421.0
5,2020.03.11,8420.0,10.0,8390.0,8620.0,8360.0,2129277.0
9,2020.03.10,8410.0,110.0,8300.0,8480.0,8290.0,1878506.0
10,2020.03.09,8520.0,500.0,8860.0,8870.0,8500.0,2732695.0
11,2020.03.06,9020.0,370.0,9320.0,9360.0,8950.0,3798856.0
12,2020.03.05,9390.0,60.0,9490.0,9500.0,9350.0,2157354.0
13,2020.03.04,9450.0,60.0,9380.0,9540.0,9330.0,1879329.0
1,2020.03.03,9390.0,40.0,9510.0,9580.0,9390.0,1549972.0
2,2020.03.02,9430.0,80.0,9490.0,9580.0,9410.0,1313790.0
3,2020.02.28,9510.0,270.0,9700.0,9720.0,9450.0,2529664.0
4,2020.02.27,9780.0,120.0,9600.0,9820.0,9600.0,1403170.0
5,2020.02.26,9660.0,30.0,9550.0,9750.0,9500.0,1497075.0
9,2020.02.25,9690.0,210.0,9320.0,9840.0,9320.0,1703737.0
10,2020.02.24,9480.0,420.0,9680.0,9720.0,9480.0,2460837.0
11,2020.02.21,9900.0,100.0,9980.0,9990.0,9900.0,1850503.0
12,2020.02.20,10000.0,100.0,10100.0,10150.0,10000.0,1213375.0
13,2020.02.19,10100.0,50.0,10050.0,10150.0,10000.0,1542470.0
1,2020.02.18,10050.0,100.0,10150.0,10150.0,10000.0,1500995.0
2,2020.02.17,10150.0,50.0,10150.0,10250.0,10100.0,1576712.0
3,2020.02.14,10200.0,200.0,10400.0,10450.0,10150.0,3166171.0
4,2020.02.13,10400.0,100.0,10500.0,10550.0,10400.0,1681662.0
5,2020.02.12,10500.0,100.0,10600.0,10650.0,10450.0,2654683.0
9,2020.02.11,10600.0,0.0,10600.0,10700.0,10550.0,1390599.0
10,2020.02.10,10600.0,250.0,10750.0,10800.0,10550.0,2015197.0
11,2020.02.07,10850.0,50.0,10850.0,10850.0,10700.0,1241093.0
12,2020.02.06,10900.0,300.0,10600.0,10950.0,10600.0,1587087.0
13,2020.02.05,10600.0,50.0,10600.0,10750.0,10550.0,1222152.0
1,2020.02.04,10550.0,100.0,10700.0,10700.0,10500.0,1604177.0
2,2020.02.03,10650.0,100.0,10650.0,10700.0,10500.0,1371028.0
3,2020.01.31,10750.0,50.0,10900.0,10900.0,10750.0,1016276.0
4,2020.01.30,10800.0,0.0,10800.0,10950.0,10800.0,1051202.0
5,2020.01.29,10800.0,100.0,10750.0,10850.0,10700.0,1069701.0
9,2020.01.28,10700.0,400.0,10950.0,11000.0,10700.0,2283509.0
10,2020.01.23,11100.0,50.0,11150.0,11200.0,11100.0,865821.0
11,2020.01.22,11150.0,50.0,11200.0,11250.0,11100.0,995026.0
12,2020.01.21,11200.0,50.0,11250.0,11300.0,11200.0,800253.0
13,2020.01.20,11250.0,0.0,11250.0,11350.0,11200.0,1217547.0
1,2020.01.17,11250.0,50.0,11150.0,11250.0,11100.0,903772.0
2,2020.01.16,11200.0,50.0,11250.0,11300.0,11100.0,867257.0
